Date,STK01,STK02,STK03,STK04,STK05,STK06,STK07,STK08,STK09,STK10,STK11,STK12,STK13,STK14,STK15,STK16,STK17,STK18,STK19,STK20,STK21,STK22,STK23
2021-06-18,30.129776861702947,68.55415839833353,27.43054825909705,20.806729588834845,49.36124080167183,40.45136200709787,269.2575560300697,92.59868074425668,555.2564391583747,266.7121921862586,183.90913729397755,33.97009749614603,695.0873340349741,40.29999923706055,114.56643595014299,63.209511203842574,121.05792177640475,23.9932875644227,399.300395686452,18.658334137184198,841.7842725422331,307.37833685735666,
2021-06-21,29.70663287038925,66.67931002356202,26.890247263725104,20.191146229889178,47.72824492943094,38.94198414352232,266.12665993826727,90.9524885608304,538.8178641841097,268.07529372656904,182.1782328049528,32.990566537865575,680.9018203635621,39.400001525878906,119.28639150920667,67.90153229930544,117.47101593017578,24.07169942143909,389.7932657292135,18.348834991455078,816.06784063858,312.56616964300304,
2021-06-22,29.42454331184378,67.00536752541008,28.012408488270992,20.560498547747432,47.950915300435824,39.16839187440072,262.9957642426362,90.12938911684098,534.2515178535224,271.2558627319336,187.803689000659,32.912205339914344,639.7640548486382,40.650001525878906,136.02081204392624,73.74443199910411,121.05791311724921,24.110902991557158,401.6772048893751,18.83519011232988,834.926558362889,316.45703929339265,
2021-06-23,29.29434462305559,66.76082439648931,27.846162796020504,20.92984729546556,47.505546665174904,38.86651967606455,264.78485107421875,89.7178328988798,532.4250872956604,274.4364017540982,179.58186844193685,32.71630101890649,640.4733531923528,40.0,127.00997473100463,73.83296119652762,123.2997179031372,23.875675267904867,388.36719280581394,18.70254629936217,823.782753730066,337.64064157553736,
2021-06-24,29.739188157912253,67.33141695215656,28.053967775275456,21.05296474111616,47.72823749422572,39.923086411056644,264.7848321322737,91.7755744056364,546.1238142627781,286.2498858020564,184.3418714341874,33.89173761343551,670.2627934680688,40.95000076293945,117.14095281299791,73.83296737126444,120.16119186750805,23.836469650268555,399.30039476590105,19.32154454907916,840.0697677842336,342.3961574388587,
2021-06-25,29.825984918255177,67.65747833251953,28.05396929007911,21.34023559607267,48.69318419918378,40.60230322727585,259.4176025390625,93.83332271069551,546.1239565157043,289.43042877289463,187.8036889248207,33.34320246258828,666.7164573957491,41.20000076293945,134.7335485458374,73.30178750701583,118.81610810522939,23.914878713059828,409.2829115125868,19.100474218661734,865.7863122188684,354.93335749114135,
2021-06-28,29.72833586942124,68.22810146225919,27.763037715143877,21.66854636984584,47.57978309205523,40.1494898632275,264.7848085345644,93.01023043645337,538.8178100585938,301.2439156615842,185.64006384733682,33.14729293537727,658.914407299674,40.70000076293945,144.17349035089669,71.70826188590952,113.4357532235079,24.267721784092004,401.2018526971052,18.790976074398618,846.9274887441983,341.53146657636086,
2021-06-29,29.923631666663972,67.4129508774336,27.763037332136424,23.884648016462958,46.65557341876483,40.22496056468814,266.5739259035241,92.59868074425668,546.1238459739365,304.424477779504,187.80370911943152,33.30402136087491,668.1349533652239,41.04999923706055,154.4715987606633,73.4788443258957,117.02265741684857,24.150108818465945,399.77578216849025,18.967833575839254,853.7852772117022,337.6406440636799,
2021-06-30,29.96703390829057,67.90203851819248,27.679915732034203,24.459192655036407,44.9304919401176,40.5268359157712,269.7047854886197,92.1871337890625,547.0370965524882,299.8808401687784,202.94916408433826,33.85256134712203,670.262856909738,39.150001525878906,155.75884277808484,72.5050315464922,115.22920386735784,24.228516987130853,394.546816181617,18.171979002713204,861.5001688414854,338.5052437347686,
2021-07-01,30.162329156455982,67.33142288585306,27.51366829265291,24.58230887468612,45.08732287099785,40.22495643382279,271.0466363987001,92.59868349347795,544.2973690451096,299.42648205757143,189.5346232822963,35.10635518387517,688.7039567398151,39.54999923706055,175.06780232174296,71.44267552277037,115.22920146741366,24.385335988175918,395.49750593596815,18.614118974567887,857.2141303390754,337.64058634976914,
2021-07-02,30.010433197021484,68.88021850585938,27.014934779139487,23.392179433400678,44.38159600716288,39.31932952279371,269.2575621333808,92.18713105205998,538.8178341404921,295.3371808572781,184.77460717604288,34.28355280092406,683.0297459330305,38.79999923706055,182.7913980922745,70.380330572438,110.74556946283273,24.620563054467137,390.2686035768643,18.569904954582242,831.4976891664722,330.2912008351293,
2021-07-05,30.108079031123776,70.10294566953802,26.640876092493603,23.392179433400678,44.773666245465144,39.99855188766502,270.5993775317543,92.5986730135404,536.9914488816624,299.88084467445935,189.53461008114664,34.36191114520491,680.9019274098747,39.20000076293945,186.2240753173828,70.8229835231287,114.33246569199996,25.796706944508145,431.62470469956986,18.967832061587707,865.7862619253306,343.2607804472223,
