Date,STK01,STK02,STK03,STK04,STK05,STK06,STK07,STK08,STK09,STK10,STK11,STK12,STK13,STK14,STK15,STK16,STK17,STK18,STK19,STK20,STK21,STK22,STK23
2021-06-18,29.945329666137695,67.0868911743164,26.931812286376953,20.31426239013672,48.17360305786133,39.394798278808594,267.9157409667969,91.77558135986328,550.690185546875,268.0752868652344,183.47640991210938,33.10811233520508,684.4482421875,39.95000076293945,120.14457702636719,68.34417724609375,116.57429504394531,24.03249168395996,389.7932434082031,18.21619415283203,823.7827758789062,310.8368835449219,
2021-06-21,29.229244232177734,66.3532485961914,27.929283142089844,20.437379837036133,47.8766975402832,38.64011001586914,262.9957580566406,89.30628967285156,532.4251098632812,270.8014831542969,184.77459716796875,32.52039337158203,651.1123657226562,40.349998474121094,130.4426727294922,72.59355926513672,117.47101593017578,23.758060455322266,396.4482727050781,18.348834991455078,838.3554077148438,309.9722595214844,
2021-06-22,29.261796951293945,66.76082611083984,27.59679412841797,20.806732177734375,47.208641052246094,38.48917007446289,264.78485107421875,89.30628967285156,527.8587646484375,272.61895751953125,176.98550415039062,32.52039337158203,640.4733276367188,39.5,131.7299346923828,72.59355926513672,120.60955047607422,23.836469650268555,385.5150451660156,18.43726348876953,819.4967041015625,334.6144104003906,
2021-06-23,29.739185333251953,67.49446105957031,27.846162796020508,20.97088623046875,47.57977294921875,39.99855422973633,264.78485107421875,91.77558135986328,543.3840942382812,286.7042541503906,184.77459716796875,33.617469787597656,667.4257202148438,40.79999923706055,118.85730743408203,72.59355926513672,118.36772918701172,23.836469650268555,396.4482727050781,19.01204490661621,831.4976806640625,340.6668701171875,
2021-06-24,29.663238525390625,67.65747833251953,27.97084617614746,21.094003677368164,48.025142669677734,39.99855422973633,259.4175720214844,93.01022338867188,538.8178100585938,285.3411560058594,186.50550842285156,33.22565841674805,658.9144287109375,40.849998474121094,130.4426727294922,72.85914611816406,117.47101593017578,23.836469650268555,403.57861328125,18.967832565307617,852.927978515625,348.01629638671875,
2021-06-25,29.717487335205078,67.65747833251953,27.59679412841797,21.25815773010254,47.57977294921875,39.9230842590332,263.89031982421875,93.01022338867188,539.731201171875,300.78955078125,184.77459716796875,33.029754638671875,657.4959106445312,40.5,137.30807495117188,71.44268798828125,114.33248138427734,24.15010643005371,397.87432861328125,18.56990623474121,848.6420288085938,339.8022155761719,
2021-06-28,29.7717342376709,67.90204620361328,27.887720108032227,23.35114097595215,47.282875061035156,39.69667434692383,265.6793518066406,91.77558135986328,538.8178100585938,300.78955078125,185.20733642578125,33.10811233520508,663.1700439453125,41.04999923706055,151.0388946533203,71.79679107666016,115.67756652832031,24.15010643005371,393.59613037109375,18.879404067993164,842.6414184570312,335.04669189453125,
2021-06-29,29.858535766601562,67.90204620361328,27.679912567138672,24.00776481628418,45.008907318115234,39.99855422973633,267.9157409667969,91.77558135986328,543.3840942382812,299.8808288574219,203.38189697265625,33.46074676513672,663.1700439453125,39.20000076293945,154.04251098632812,71.70826721191406,114.33248138427734,24.110904693603516,391.6947021484375,18.127765655517578,849.4992065429688,336.34368896484375,
2021-06-30,30.151477813720703,67.82051849365234,27.59679412841797,24.048803329467773,45.16572952270508,40.07402038574219,271.0466003417969,92.1871337890625,543.3840942382812,300.335205078125,188.66915893554688,35.184722900390625,682.3204956054688,39.29999923706055,169.06056213378906,71.44268798828125,115.67756652832031,24.306926727294922,392.6453857421875,18.348834991455078,854.6424560546875,336.7759704589844,
2021-07-01,30.010433197021484,68.39112091064453,27.139617919921875,22.98179054260254,44.38160705566406,39.31932830810547,266.12664794921875,92.1871337890625,541.5576171875,290.7935485839844,181.7455291748047,34.36191177368164,677.3555908203125,38.45000076293945,182.7913818359375,70.38032531738281,110.74557495117188,24.34613037109375,387.89178466796875,18.348834991455078,836.6409912109375,327.697265625,
2021-07-02,30.010433197021484,68.88021850585938,26.516197204589844,23.022829055786133,44.61683654785156,39.69667434692383,267.4684753417969,91.77558135986328,536.9913330078125,296.24591064453125,187.3709716796875,34.16600799560547,678.7741088867188,38.849998474121094,177.2132568359375,69.67210388183594,113.43574523925781,25.36545181274414,426.3957824707031,18.79097557067871,861.5001831054688,338.5052490234375,
2021-07-05,30.292526245117188,70.5105209350586,27.430543899536133,23.022829055786133,45.400970458984375,41.055118560791016,271.9411926269531,96.30261993408203,539.731201171875,298.0633850097656,192.99642944335938,34.75372314453125,678.7741088867188,39.75,186.2240753173828,69.93769836425781,118.36772918701172,25.52227210998535,423.0682678222656,18.879404067993164,891.502685546875,351.0425109863281,
2021-07-06,30.3250732421875,70.02143859863281,27.804601669311523,22.653478622436523,45.63621520996094,40.30043029785156,271.4939270019531,95.89107513427734,540.6443481445312,303.9701232910156,188.66915893554688,34.79290771484375,680.2496948242188,38.29999923706055,192.23130798339844,68.69829559326172,118.81610107421875,25.639888763427734,416.41326904296875,18.393047332763672,882.9305419921875,352.33941650390625,
2021-07-07,30.162328720092773,70.59203338623047,27.388986587524414,22.24308967590332,45.4793815612793,40.45136642456055,271.4939270019531,94.65643310546875,542.4708251953125,302.15264892578125,187.80369567871094,34.47945022583008,676.5607299804688,38.150001525878906,173.3514404296875,72.68208312988281,122.85135650634766,25.679092407226562,412.1350402832031,18.127765655517578,900.0748291015625,367.03826904296875,
2021-07-08,30.129777908325195,69.69536590576172,27.264299392700195,22.940752029418945,45.32255554199219,40.07402038574219,269.704833984375,95.0679702758789,536.9913330078125,303.9701232910156,189.5346221923828,34.24436950683594,678.7741088867188,37.95000076293945,178.07142639160156,73.21324920654297,126.4382553100586,25.718297958374023,416.88861083984375,18.43726348876953,904.3609008789062,362.28277587890625,
2021-07-09,29.891084671020508,70.34748840332031,27.056493759155273,22.284130096435547,45.087318420410156,39.394798278808594,263.89031982421875,93.83332824707031,533.3383178710938,300.78955078125,189.1018829345703,34.16600799560547,678.0363159179688,37.79999923706055,160.47882080078125,71.1771011352539,127.78335571289062,25.639888763427734,418.314697265625,18.30462074279785,895.7887573242188,361.4181213378906,
2021-07-12,30.162328720092773,70.10294342041016,26.76556396484375,22.571401596069336,44.69525146484375,40.14949035644531,267.9157409667969,94.65643310546875,541.5576171875,310.78558349609375,186.93824768066406,34.79290771484375,689.841064453125,37.79999923706055,157.04611206054688,69.93769836425781,125.98990631103516,25.600683212280273,440.1811828613281,18.127765655517578,912.9330444335938,370.0644836425781,
2021-07-13,30.41187286376953,70.83657836914062,26.59931755065918,22.20205307006836,45.400970458984375,40.677772521972656,274.62481689453125,95.89107513427734,554.3431396484375,317.60107421875,193.4291534423828,34.32272720336914,683.2008666992188,37.400001525878906,141.59896850585938,70.64591979980469,121.95465087890625,25.247838973999023,424.01898193359375,17.995121002197266,947.2215576171875,363.1473693847656,
2021-07-14,30.48781967163086,71.08111572265625,26.349950790405273,21.79166603088379,45.63621520996094,40.75324249267578,288.9375,95.47952270507812,559.8226318359375,304.4244689941406,199.92007446289062,34.98881530761719,686.152099609375,36.599998474121094,127.43905639648438,71.265625,128.23171997070312,25.1694278717041,425.92041015625,17.331911087036133,951.5076904296875,375.2522888183594,
2021-07-15,30.769914627075195,71.65172576904297,26.557756423950195,22.940752029418945,45.793033599853516,41.58340072631836,286.701171875,98.36038208007812,560.7359619140625,315.3292541503906,198.18914794921875,35.184722900390625,701.6458129882812,38.04999923706055,139.88259887695312,70.0262222290039,128.68008422851562,25.051815032958984,430.67401123046875,17.77405548095703,870.0723266601562,362.7150573730469,
2021-07-16,30.35762596130371,72.54838562011719,26.43307113647461,23.22802734375,45.557796478271484,40.52683639526367,285.806640625,98.36038208007812,537.9046020507812,318.055419921875,206.41098022460938,35.576534271240234,706.0726928710938,37.599998474121094,153.184326171875,70.20327758789062,128.68008422851562,24.894996643066406,416.88861083984375,17.597196578979492,878.6444702148438,376.9815979003906,
2021-07-19,30.010433197021484,71.65172576904297,26.516197204589844,24.54127311706543,45.714622497558594,39.69667434692383,275.51934814453125,95.89107513427734,531.5118408203125,308.9681091308594,209.872802734375,35.6548957824707,678.0363159179688,37.5,159.6206512451172,68.78681945800781,127.33499145507812,24.816585540771484,425.445068359375,17.199270248413086,870.0723266601562,363.1473693847656,
2021-07-20,29.7717342376709,70.10294342041016,26.225265502929688,23.392181396484375,45.4793815612793,39.545738220214844,273.2423400878906,94.24488067626953,530.5985717773438,311.6943359375,199.92007446289062,35.26307678222656,678.7741088867188,36.849998474121094,145.46075439453125,66.66213989257812,126.88664245605469,24.4637451171875,406.4307556152344,16.624488830566406,840.9270629882812,361.8504638671875,
2021-07-21,29.739103317260742,69.77687072753906,26.474634170532227,22.612442016601562,45.87144088745117,38.33823013305664,278.7071533203125,92.59867858886719,534.2515258789062,310.33123779296875,204.2473602294922,35.498165130615234,672.8717041015625,36.45000076293945,133.01719665527344,66.04243469238281,123.29973602294922,23.6623477935791,403.57861328125,15.872849464416504,844.3558959960938,353.6363830566406,
2021-07-22,29.945768356323242,71.5702133178711,26.266826629638672,22.448286056518555,46.02826690673828,40.519989013671875,275.9747314453125,94.3055648803711,539.731201171875,309.8768615722656,203.38189697265625,37.574771881103516,678.0363159179688,36.79999923706055,123.14818572998047,66.39654541015625,131.37026977539062,23.788883209228516,418.7900695800781,16.845556259155273,836.6409912109375,369.6322021484375,
2021-07-23,29.945768356323242,71.73324584960938,26.391511917114258,23.26906394958496,45.400970458984375,41.065452575683594,276.88555908203125,94.3055648803711,534.2515258789062,306.69635009765625,199.48733520507812,36.634422302246094,688.3655395507812,37.20000076293945,132.15902709960938,66.21949768066406,125.09317016601562,23.704526901245117,412.1350402832031,17.199270248413086,837.5272827148438,338.5052490234375,
2021-07-26,29.684709548950195,70.2659683227539,26.14214324951172,22.98179054260254,46.02826690673828,41.84468460083008,272.33154296875,93.87885284423828,529.6853637695312,310.33123779296875,204.2473602294922,37.22214126586914,680.9874877929688,38.0,120.57365417480469,66.92771911621094,130.92189025878906,23.704526901245117,419.2654113769531,17.28769874572754,829.5508422851562,333.31744384765625,
2021-07-27,29.67383575439453,70.10294342041016,26.225265502929688,22.98179054260254,46.02826690673828,41.37714385986328,265.95587158203125,95.15901184082031,529.6853637695312,304.87884521484375,199.92007446289062,36.71278381347656,692.054443359375,36.75,108.5592041015625,66.48506927490234,127.33499145507812,23.7467041015625,406.9060974121094,16.92557144165039,826.8920288085938,324.6710510253906,
2021-07-28,29.206106185913086,71.52848052978516,25.518720626831055,22.69451904296875,46.185096740722656,40.36414337158203,265.95587158203125,94.3055648803711,528.7720336914062,297.6090393066406,199.0546112060547,35.6548957824707,656.64013671875,35.349998474121094,112.85006713867188,66.21949768066406,123.7480697631836,23.6623477935791,387.89178466796875,17.286649703979492,798.53125,331.5881652832031,
2021-07-29,29.695594787597656,72.36703491210938,26.266826629638672,23.22802734375,46.89081573486328,42.545989990234375,265.50048828125,94.73229217529297,532.4251098632812,304.87884521484375,198.18914794921875,36.00752258300781,688.3655395507812,37.900001525878906,124.00636291503906,66.30802154541016,135.8538818359375,23.620168685913086,399.3004150390625,17.06097412109375,833.0958862304688,359.6888427734375,
2021-07-30,29.597692489624023,72.95401000976562,25.809650421142578,23.392181396484375,50.26255416870117,45.039527893066406,261.4018249511719,93.87885284423828,529.6853637695312,296.24591064453125,194.7273406982422,36.36014938354492,671.3961181640625,39.25,113.27916717529297,66.57360076904297,130.92189025878906,23.40927505493164,391.21929931640625,16.7901668548584,830.4371337890625,343.2607727050781,
2021-08-02,30.000158309936523,74.46340942382812,26.349950790405273,23.556554794311523,50.105735778808594,44.80575942993164,261.4018249511719,96.43917846679688,538.8178100585938,293.51971435546875,190.83277893066406,36.7911491394043,689.103271484375,39.95000076293945,121.43183135986328,66.39654541015625,130.47352600097656,23.282737731933594,388.3671569824219,17.24151611328125,824.233154296875,336.7759704589844,
2021-08-03,30.119813919067383,74.12799072265625,25.97589683532715,24.86996078491211,50.105735778808594,46.28630065917969,261.85723876953125,95.15901184082031,542.4708251953125,301.24395751953125,192.99642944335938,37.613956451416016,692.054443359375,41.45000076293945,121.00275421142578,68.78681945800781,134.5087890625,23.114023208618164,373.6310729980469,17.196378707885742,835.7546997070312,350.61016845703125,
